date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:03:11	283/283	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Aug%202021%2008:18:08%20GMT	http://html.phoenixcoded.net/robots.txt		(from )
14:03:11	228431/228431	---M-Z	200	added ('OK')	text/html	etag:%2237c4f-563ea07170700-gzip%22	http://html.phoenixcoded.net/mega-able/default/	C:/My%20Web%20Sites/Community/html.phoenixcoded.net/mega-able/default/index.html	(from )
14:03:12	142181/142181	---M-Z	200	added ('OK')	text/css	etag:%2222b65-5616370b32b00-gzip%22	http://html.phoenixcoded.net/mega-able/files/bower_components/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Community/html.phoenixcoded.net/mega-able/files/bower_components/bootstrap/css/bootstrap.min.css	(from http://html.phoenixcoded.net/mega-able/default/)
14:03:13	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-55f58d478ca80-gzip%22	http://html.phoenixcoded.net/mega-able/files/assets/icon/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/Community/html.phoenixcoded.net/mega-able/files/assets/icon/font-awesome/css/font-awesome.min.css	(from http://html.phoenixcoded.net/mega-able/default/)
14:03:13	33520/33520	---MCZ	200	added ('OK')	text/css	etag:W/%228821-5d9f1078-2551b231a4fdb384;gz%22	https://www.amcharts.com/lib/3/plugins/export/export.css	C:/My%20Web%20Sites/Community/www.amcharts.com/lib/3/plugins/export/export.css	(from http://html.phoenixcoded.net/mega-able/default/)
14:03:14	40980/40980	---M-Z	200	added ('OK')	text/css	etag:%22a014-560218a2dd500-gzip%22	http://html.phoenixcoded.net/mega-able/files/assets/pages/chart/radial/css/radial.css	C:/My%20Web%20Sites/Community/html.phoenixcoded.net/mega-able/files/assets/pages/chart/radial/css/radial.css	(from http://html.phoenixcoded.net/mega-able/default/)
14:03:15	228431/228431	---M-Z	200	added ('OK')	text/html	etag:%2237c4f-563ea07170700-gzip%22	http://html.phoenixcoded.net/mega-able/default/index.html	C:/My%20Web%20Sites/Community/html.phoenixcoded.net/mega-able/default/index-2.html	(from http://html.phoenixcoded.net/mega-able/default/)
14:03:16	2207/2207	---M--	200	added ('OK')	image/png	etag:%2289f-563ea01b9bc80%22	http://html.phoenixcoded.net/mega-able/files/assets/images/logo.png	C:/My%20Web%20Sites/Community/html.phoenixcoded.net/mega-able/files/assets/images/logo.png	(from http://html.phoenixcoded.net/mega-able/default/)
14:03:17	510527/510527	---MCZ	200	added ('OK')	text/css	etag:%227ca3f-5639c4196c080-gzip%22	http://html.phoenixcoded.net/mega-able/files/assets/css/style.css	C:/My%20Web%20Sites/Community/html.phoenixcoded.net/mega-able/files/assets/css/style.css	(from http://html.phoenixcoded.net/mega-able/default/)
14:03:17	2660/2660	---M--	200	added ('OK')	image/jpeg	etag:%22a64-56394273a6000%22	http://html.phoenixcoded.net/mega-able/files/assets/images/avatar-4.jpg	C:/My%20Web%20Sites/Community/html.phoenixcoded.net/mega-able/files/assets/images/avatar-4.jpg	(from http://html.phoenixcoded.net/mega-able/default/)
